investing_symbol,sector,sub_sector
AASB,Consumer Non-Cyclicals,Food & Tobacco
ABEL,Industrials,Construction & Engineering
ABLE,Consumer Non-Cyclicals,Food & Tobacco
ABMF,Consumer Cyclicals,Automobiles & Auto Parts
ACME,Basic Materials,Chemicals
ACOG,Industrials,Machinery Equipment & Components
ADVA,Consumer Cyclicals,Hotels & Entertainment Services
ADVE,Healthcare,Healthcare Equipment & Supplies
ADVN,Industrials,Construction & Engineering
AEML,Technology,Semiconductors & Semiconductor Equipment
AEMU,Technology,Semiconductors & Semiconductor Equipment
AEOM,Consumer Cyclicals,Diversified Retail
AFCB,Industrials,Professional & Commercial Services
AFHB,Consumer Non-Cyclicals,Food & Tobacco
AFIN,Financials,Banking Services
AGES,Industrials,Construction & Engineering
AGMO,Industrials,Professional & Commercial Services
AGXG,Industrials,Freight & Logistics Services
AIMD,Consumer Cyclicals,Media & Publishing
AIMF,Industrials,Machinery Equipment & Components
AINM,Financials,Insurance
AIRX,Industrials,Passenger Transportation Services
AJIN,Consumer Non-Cyclicals,Food & Tobacco
AJIY,Consumer Cyclicals,Homebuilding & Construction Supplies
ALCO,Basic Materials,Metals & Mining
ALDR,Technology,Software & IT Services
ALLI,Financials,Banking Services
ALMT,Energy,Oil & Gas Related Equipment and Services
ALPH,Consumer Non-Cyclicals,Food & Tobacco
ALQA,Real Estate,Residential & Commercial REITs
ALSA,Others,Others
AMEE,Industrials,Construction & Engineering
AMER,Others,Others
AMFL,Real Estate,Residential & Commercial REITs
AMLE,Industrials,Machinery Equipment & Components
AMMB,Financials,Banking Services
AMRY,Real Estate,Residential & Commercial REITs
AMTH,Technology,Others
AMWA,Healthcare,Pharmaceuticals
ANCM,Basic Materials,Chemicals
ANCO,Industrials,Freight & Logistics Services
ANCR,Financials,Banking Services
ANEK,Industrials,Construction & Engineering
ANNJ,Basic Materials,Metals & Mining
ANNJq,Basic Materials,Metals & Mining
ANNU,Basic Materials,Paper & Forest Products
ANRE,Basic Materials,Chemicals
APBS,Industrials,Construction & Engineering
APER,Healthcare,Pharmaceuticals
APES,Financials,Investment Banking & Investment Services
APHB,Others,Others
APMA,Consumer Cyclicals,Automobiles & Auto Parts
APPA,Technology,Software & IT Services
ARBB,Technology,Software & IT Services
ARKA,Industrials,Freight & Logistics Services
ARKS,Industrials,Construction & Engineering
ARNK,Basic Materials,Metals & Mining
ARTR,Technology,Others
ARTW,Industrials,Professional & Commercial Services
ASDN,Industrials,Freight & Logistics Services
ASIA,Consumer Cyclicals,Textiles & Apparel
ASPY,Basic Materials,Chemicals
